Index,MeanCosineSimilarity
0,0.68984586
1,0.7113317
2,0.675647
3,0.7488199
4,0.716986
5,0.72742677
6,0.7348227
7,0.7357579
8,0.685065
9,0.5982985
10,0.7142056
11,0.69166887
12,0.6997445
13,0.6847953
14,0.65482736
15,0.75800806
16,0.6121195
17,0.6320049
18,0.66737944
19,0.5317642
20,0.7551761
21,0.70690465
22,0.6883801
23,0.70002943
24,0.6062574
25,0.7285525
26,0.69643456
27,0.678612
28,0.7295387
29,0.71811277
30,0.7562328
31,0.6548852
32,0.6836858
33,0.73143953
34,0.60213464
35,0.6352328
36,0.7647446
37,0.73807544
38,0.7413264
39,0.60622495
40,0.71805394
41,0.7453523
42,0.74819994
43,0.7245427
44,0.6756611
45,0.74128455
46,0.735686
47,0.74615204
48,0.7129659
49,0.7226224
50,0.7553557
51,0.7532367
52,0.7329904
53,0.7536109
54,0.69867736
55,0.642781
56,0.710879
57,0.7235359
58,0.6633259
59,0.5880041
60,0.46016207
61,0.6843129
62,0.68948215
63,0.7224301
64,0.7028625
65,0.60952866
66,0.7069568
67,0.6597401
68,0.74557364
69,0.7074802
70,0.6456591
71,0.7208265
72,0.7396573
73,0.7730354
74,0.73103344
75,0.7496179
76,0.72762954
77,0.7487983
78,0.6020938
79,0.70315105
80,0.70184076
81,0.71956396
82,0.76105464
83,0.71265924
84,0.7097883
85,0.6832883
86,0.7264823
87,0.6818693
88,0.7012067
89,0.7251589
90,0.6570954
91,0.66150004
92,0.6911862
93,0.700803
94,0.67094725
95,0.7086683
96,0.71900725
97,0.73700273
98,0.699257
99,0.63515675
100,0.650534
101,0.6365725
