Index,MeanCosineSimilarity
0,0.5845035
1,0.6596918
2,0.45797154
3,0.56532854
4,0.5966326
5,0.57296413
6,0.59865385
7,0.56078506
8,0.6223232
9,0.576779
10,0.5860842
11,0.6167024
12,0.4843514
13,0.5372808
14,0.5671163
15,0.6097278
16,0.54423326
17,0.6613653
18,0.6357189
19,0.58557606
20,0.52900016
21,0.43285972
22,0.57733995
23,0.6208225
24,0.5208736
25,0.52264905
26,0.5616407
27,0.63521767
28,0.53646404
29,0.62767875
30,0.6003301
31,0.5619976
32,0.52427703
33,0.5169988
34,0.5138236
35,0.47628686
36,0.627392
37,0.44403112
38,0.52634865
39,0.569922
40,0.64789224
41,0.43554267
42,0.43690774
43,0.53774124
44,0.52905947
45,0.4246151
46,0.42842758
47,0.5208711
48,0.43470186
49,0.5725348
50,0.5055724
51,0.6021394
52,0.534491
53,0.58047205
54,0.5518737
55,0.6204016
56,0.55541766
57,0.53221977
58,0.64834857
59,0.6124151
60,0.4356294
61,0.56440115
62,0.4683175
63,0.5554519
64,0.5038262
65,0.53254783
66,0.53028446
67,0.39253947
68,0.5722735
69,0.52303386
70,0.4831056
71,0.5657023
72,0.5039827
73,0.3238929
74,0.400598
75,0.34492424
76,0.47724047
77,0.43049216
78,0.3980054
79,0.60374576
80,0.5046616
81,0.53178614
82,0.5998544
83,0.44816768
84,0.33223245
85,0.41575462
86,0.4588973
87,0.4515699
88,0.41875026
89,0.53686345
90,0.6364453
91,0.58235747
92,0.41884756
93,0.5816599
94,0.4021731
95,0.48375854
96,0.49994808
97,0.40349245
98,0.58198637
99,0.3732768
100,0.50374246
101,0.58184624
102,0.4210895
103,0.4179381
104,0.41919863
105,0.4981996
106,0.35964605
107,0.46933314
108,0.48508254
109,0.3857234
110,0.4922007
111,0.5679518
112,0.6374369
113,0.37257367
114,0.4886697
115,0.49360704
116,0.41386488
117,0.386038
118,0.46097273
119,0.38234943
120,0.37473914
121,0.5914824
122,0.6099564
123,0.39224428
124,0.5945277
125,0.40865755
126,0.4483579
127,0.37171924
128,0.507049
129,0.3255812
130,0.5892061
131,0.34007913
132,0.4334565
133,0.42596614
134,0.47594225
135,0.6504604
136,0.39082906
137,0.4567741
138,0.4620365
139,0.4253668
140,0.4309252
141,0.4458754
142,0.46598712
143,0.46774885
144,0.38157204
145,0.46922103
146,0.6328042
147,0.4160732
148,0.6233602
149,0.5556364
150,0.4206892
151,0.5611244
152,0.56185037
153,0.55198187
154,0.48667833
155,0.5155938
156,0.4039834
157,0.4082316
158,0.5490684
159,0.39186403
160,0.5903511
161,0.54898417
162,0.44004092
163,0.5803247
164,0.6063104
165,0.51979834
166,0.5963577
167,0.5380826
168,0.44550282
169,0.56335783
170,0.5854219
171,0.39955762
172,0.41578934
173,0.59556264
174,0.43415096
175,0.47902107
176,0.54139274
177,0.58612293
178,0.5995003
179,0.44992808
180,0.55457044
181,0.36721438
182,0.36567587
183,0.44789785
184,0.35597047
185,0.5897703
186,0.60873246
187,0.5352961
188,0.34051228
189,0.5884912
190,0.57228434
191,0.5880976
192,0.5306324
193,0.6284622
194,0.5772444
195,0.44776642
196,0.46914947
197,0.5413212
198,0.6282333
199,0.5313727
200,0.49878016
201,0.3838724
202,0.577376
203,0.65231985
